EQPMT_ID,EVNT_TMSTMP,KFID,COF,IDENT_ITEM_ID,DCC_BUSN_ENTTY_ID,DCC_BUSN_ENTTY_NM,LAT,LNG,ADDR1,CITY,ZIP,COUNTRY,CONNECTIVITY,OVERALL_STATUS,LAST_BEAT,CUSTOMER_NAME,REGION,MARKET_UNIT,LOCATION,EQPMT_SRL_NUM_VAL,EQPMT_UNDI_ID,BUILDING_SUB_LOCATION_DSC,EQPMT_HLTH_RPRT_ID,SYSTEM_POWERONHOURS,SYSTEM_UPTIME,SYSTEM_FANSPEED,SYSTEM_CPUTEMPERATURE,SYSTEM_CPUSERIALNUMBER,SOFTWARE_KIOSKFRAME,SOFTWARE_PLUGINS,SOFTWARE_CREWMODE,VALVECONTROLLER_FIRMWARE,SSD_FREESPACE,SSD_TEMP,SSD_SERIALNUMBER,SSD_MODELNUMBER,RAM_TOTAL,RAM_USAGE,SYSTEM_TEMP,SYSTEM_UNSAFESHUTDOWNCOUNT,ROW_CRT_DTM,ROW_DEL_FLG,ROW_LAST_UPDT_DTM
11655302,2016-06-13 13:01:52.0,201768,8272037,9394085,35506394,SUBWAY #23133 (SERV.ONLY),45.342260000000003,-72.041669999999996,7369 BOUL BOURQUE,SHERBROOKE,J1N 3M4,CANADA,Transmitting Data,Connected & Reporting,06-13-2016 09: 15: 40 PM,1315 PBC SYRACUSE NY,Georgia Mkt,N NEW ENGLAND MKT,206,GEGK547000LZ,42616,in1,10965095,2763,"0d, 8h, 1m",3358 RPM,64 C,GEGK547000LZ,2763,1.1.1111.447,False,1.7.2.21312,14 GB,46 C,CVLI538200VN030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3861 MB,2017 MB,29 C,4,2016-06-13 10:07:37.0,N,2016-06-13 10:07:37.0
12236340,2016-06-13 13:01:52.0,204047,9760380,9405266,35506236,SUBWAY #17422 (SERV.ONLY),46.323585000000001,-79.432925999999995,2541 TROUT LAKE RD,NORTH BAY,P1B 7S8,CANADA,Transmitting Data,Connected & Reporting,06-12-2016 09: 43: 16 PM,1315 PBC SYRACUSE NY,MIDWEST RGN,N NEW ENGLAND MKT,206,GEGK5090075Q,43631,in1,10963453,2802,"0d, 8h, 1m",3086 RPM,48 C,GEGK5090075Q,2802,1.1.1111.447,False,1.6.2.21312,11 GB,33 C,CVLI439400ZD030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3874 MB,2044 MB,29 C,5,2016-06-13 10:05:13.0,N,2016-06-13 10:05:13.0
9548624,2016-06-13 13:01:46.0,201480,8741969,9387563,35505557,SUBWAY #15703 (SERV.ONLY),49.248970000000000,-122.862380000000002,1066A AUSTIN AVE,COQUITLAM,V3K 3P3,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 06: 10 PM,1012 PBC FAIRBANKS AK,MIDWEST RGN,N NEW ENGLAND MKT,206,GEGK54700JYC,44339,in1,10965264,3109,"0d, 8h, 1m",3007 RPM,47 C,GEGK54700JYC,3109,1.1.1111.447,False,1.6.2.21312,13 GB,38 C,CVLI550100Z8030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3877 MB,1976 MB,29 C,7,2016-06-13 10:08:06.0,N,2016-06-13 10:08:06.0
12947356,2016-06-13 13:01:49.0,201880,8624740,9399662,35507472,SUBWAY #15768 (SERV.ONLY),49.189749999999997,-119.552250000000001,35609 HWY 97,OLIVER,V0H 1T0,CANADA,Transmitting Data,Connected & Reporting,06-12-2016 02: 46: 08 PM,1012 PBC FAIRBANKS AK,MIDWEST RGN,N NEW ENGLAND MKT,206,GEGK54400772,42758,in1,10963512,2660,"0d, 8h, 1m",3370 RPM,60 C,GEGK54400772,2660,1.1.1111.447,False,1.7.2.21312,14 GB,40 C,CVLI538200JH030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3876 MB,1985 MB,29 C,7,2016-06-13 10:06:03.0,N,2016-06-13 10:06:03.0
26359616,2016-01-13 20:10:19.0,201161,8619675,9385331,35504282,SUBWAY #13639 (SERV.ONLY),49.219085000000000,-122.968307999999993,6569 KINGSWAY UNIT 102 B,BURNABY,V5E 1E1,CANADA,Transmitting Data,Connected & Reporting,04-21-2016 07: 39: 22 PM,1012 PBC FAIRBANKS AK,MIDWEST RGN,NEW JERSEY MKT,206,GEGK53700MFS,44515,in1,8732753,11,"0d, 3h, 0m",3383 RPM,63 C,GEGK53700MFS,11,1.1.212.429,False,1.7.2,17 GB,47 C,CVLI525200B5030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3764 MB,1909 MB,29 C,5,2016-05-19 10:30:59.0,N,2016-05-19 10:30:59.0
169524,2016-03-09 16:01:51.0,9901418,9851316,9052464,7345533,FLIK@PEPSI BOTTLING CAFE,0.000000000000000,0.000000000000000,1 PEPSI WAY 5S/532,SOMERS,10589,CANADA,Not Connected,Activation / Installation Issues,06-14-2016 03: 17: 40 PM,1012 PBC FAIRBANKS AK,MIDWEST RGN,NEW JERSEY MKT,206,GEGK40300C1F,41205,Cafeteria 3,3935117,16034,"2d, 12h, 1m",3211 RPM,67 C,GEGK40300C1F,16034,1.1.1111.447,False,1.7.2.21312,13 GB,47 C,CVLI345300DJ030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3742 MB,2157 MB,29 C,62,2016-03-09 22:31:30.0,N,2016-03-09 22:31:30.0
270607,2016-06-13 13:02:50.0,9901614,7136539,9170623,34961826,ARBY'S,45.052919000000003,-93.322856000000002,5444 BROOKLYN BLVD,BROOKLYN CENTER,554293360,CANADA,Transmitting Data,Connected & Reporting,06-10-2016 09: 12: 01 PM,1012 PBC FAIRBANKS AK,MIDWEST RGN,NEW JERSEY MKT,206,GEGK34800685,35083,LOBBY LEFT UNIT.,10965490,10729,"0d, 8h, 2m",2856 RPM,57 C,GEGK34800685,10729,1.1.1111.447,False,1.6.2.21312,3 GB,38 C,CVLI413501DU030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3806 MB,2496 MB,29 C,107,2016-06-13 10:11:02.0,N,2016-06-13 10:11:02.0
9898708,2016-06-13 13:01:49.0,1102219,3506625,9376534,35504354,SUBWAY #56543 (SERV.ONLY),45.166829999999997,-72.038849999999996,1160 MAIN ST,AYER'S CLIFF,J0B 1C0,CANADA,Transmitting Data,Connected & Reporting,04-21-2016 07: 39: 22 PM,1008 PBC PORTLAND OR,Georgia Mkt,NEW JERSEY MKT,206,GEGK53200DSM,42349,in1,10965191,3483,"0d, 8h, 1m",3394 RPM,61 C,GEGK53200DSM,3483,1.1.1111.447,False,1.7.2.21312,13 GB,43 C,CVLI525200EB030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3861 MB,1910 MB,29 C,9,2016-06-13 10:07:54.0,N,2016-06-13 10:07:54.0
11640981,2016-06-13 13:01:54.0,1102434,8272153,9372467,35505547,SUBWAY #15318 (SERV.ONLY),45.414169999999999,-73.011120000000005,2017 112 RTE SUITE 2,SAINT-CESAIRE,J0L 1T0,CANADA,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,04-21-2016 07: 39: 22 PM,1008 PBC PORTLAND OR,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK53200EHW,42997,in1,10963943,3353,"0d, 8h, 1m",3299 RPM,63 C,GEGK53200EHW,3353,1.1.1111.447,False,1.7.2.21312,12 GB,44 C,CVLI5263006C030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3866 MB,2086 MB,29 C,5,2016-06-13 10:06:55.0,N,2016-06-13 10:06:55.0
13652794,2016-06-13 04:27:04.0,201944,8120803,9399141,35507377,SUBWAY #31288 (SERV.ONLY),42.881704999999997,-80.749899999999997,670 BROADWAY ST UNIT A,TILLSONBURG,N4G 3S9,CANADA,Not Connected,Activation / Installation Issues,04-21-2016 07: 39: 22 PM,1008 PBC PORTLAND OR,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK544007R0,43323,in1,10920770,2955,"6d, 23h, 26m",3359 RPM,57 C,GEGK544007R0,2955,1.1.1111.447,False,1.7.2.21312,14 GB,38 C,CVLI5391003L030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3854 MB,2498 MB,29 C,8,2016-06-13 01:37:47.0,N,2016-06-13 01:37:47.0
